0	index_QNN.html	QNN	QNN
1	general_introduction.html	Introduction	QNN > Introduction
1	QNN_general_overview.html	Overview	QNN > Overview
1	general_setup.html	Setup	QNN > Setup
2	linux_setup.html	Linux Setup	QNN > Setup > Linux Setup
2	windows_setup.html	Windows Setup	QNN > Setup > Windows Setup
1	backend.html	Backend	QNN > Backend
2	dsp_backend.html	DSP	QNN > Backend > DSP
2	htp_backend.html	HTP	QNN > Backend > HTP
3	htp_qhpi.html	Qualcomm Hexagon Plugin Interface	QNN > Backend > HTP > Qualcomm Hexagon Plugin Interface
3	common_default_package_ops_usage_examples.html	QNN HTP Op Package - Common Default Package Ops Usage Examples	QNN > Backend > HTP > QNN HTP Op Package - Common Default Package Ops Usage Examples
3	common_optimization_utility_funcs_usage_examples.html	QNN HTP Optimization Utility Functions Usage Examples	QNN > Backend > HTP > QNN HTP Optimization Utility Functions Usage Examples
3	htp_core_headers.html	HTP Core Headers for Op Packages	QNN > Backend > HTP > HTP Core Headers for Op Packages
3	implementing_ops.html	Implementing Ops	QNN > Backend > HTP > Implementing Ops
3	opPackage_API_version_guide.html	QNN HTP Op Package API Revision History	QNN > Backend > HTP > QNN HTP Op Package API Revision History
3	optimization_grammar.html	Optimization Grammar	QNN > Backend > HTP > Optimization Grammar
3	relu_example.html	QNN HTP Op Package - Relu Op Example	QNN > Backend > HTP > QNN HTP Op Package - Relu Op Example
3	relu_fp16_example.html	QNN HTP-FP16 Op Package - Relu Op Example	QNN > Backend > HTP > QNN HTP-FP16 Op Package - Relu Op Example
3	scheduling_and_allocation.html	Scheduling and Allocation	QNN > Backend > HTP > Scheduling and Allocation
3	scratch_buffer.html	Allocate Memory for Scratch Buffers	QNN > Backend > HTP > Allocate Memory for Scratch Buffers
3	tensors_and_memory_layout.html	Tensors and Memory Layout	QNN > Backend > HTP > Tensors and Memory Layout
3	writing_op_package.html	Writing QNN HTP Op Package	QNN > Backend > HTP > Writing QNN HTP Op Package
3	central_migration_guidance.html	General OpPackage Central Migration Guidance	QNN > Backend > HTP > General OpPackage Central Migration Guidance
3	writing_opPackage_migration_guide.html	Op Package Migration Guide	QNN > Backend > HTP > Op Package Migration Guide
